requirement_id,section,source_digest,modal,work_packages,test_or_gate,artifact,owner,feature,heading,statement
REQ-8-1fac16ee-5866e40ae1e93e44,8,5866e40ae1e93e4445f413a36da20550ac03d516d3a76137899dabf24bcbdcf9,MUST,WP-04,internal usability gate; WCAG audit; privacy screenshot mode,acceptance/*; docs/process/implementation-plan.md; F-06,product-core,F-06,F-06 可视化 Context Inspector,必须展示 context cap、截断位置、override/shadow、MCP schema、skill catalog/body、compaction event。
REQ-8-1fac16ee-06bc8bde780b5edf,8,06bc8bde780b5edff47596e61f0dc27aa357e19e94973ac99d5dc16b05710b0b,MUST,WP-04,internal usability gate; WCAG audit; privacy screenshot mode,acceptance/*; docs/process/implementation-plan.md; F-06,product-core,F-06,F-06 可视化 Context Inspector,必须支持敏感正文遮罩、按住显示、复制前确认和截图隐私模式。
REQ-8-6fe21fa3-f74343b1b89f234e,8,f74343b1b89f234e029d6ab7d650aec8577c881e76917c0d6e0a3512be442f0a,MUST,WP-03;WP-04,cross-coordinate golden diff; no numeric-confidence check,acceptance/*; docs/process/implementation-plan.md; F-07,product-core,F-07,F-07 跨工具、设备、版本与快照 Diff,必须提供两两 diff 和多列矩阵：harness、device/environment、account/organization/policy snapshot、snapshot、version、task。
REQ-8-6fe21fa3-774b98395f70aeee,8,774b98395f70aeeec8c4922eff3e3652925b0952b2d9dc0b7ea95d745ddd286b,MUST,WP-03;WP-04,cross-coordinate golden diff; no numeric-confidence check,acceptance/*; docs/process/implementation-plan.md; F-07,product-core,F-07,F-07 跨工具、设备、版本与快照 Diff,必须区分 `declared-same-intent`、§4.7 的 reconciliation status、独立的 behavioral evidence、`user-confirmed` relation、有损映射、仅一端支持和未知。相同 Intent ID 只代表人为归组，不自动证明行为等价。
REQ-8-6fe21fa3-5a006c4d5d26597d,8,5a006c4d5d26597d0d58c7dd3a325c306f1b8057aa0f578dd4e49ed3fd732de7,MUST-NOT,WP-03;WP-04,semantic-team-validation; scripts/check_semantic_team.py,acceptance/semantic-team-contract.yaml; docs/architecture/semantic-alignment-and-team-standard.md; scripts/check_semantic_team.py,product-core,F-07,F-07 跨工具、设备、版本与快照 Diff,语义对齐默认由显式 intent id、来源关系和可解释规则判定；LLM 仅提供候选匹配供用户确认。禁止输出没有标注集和校准合同的裸数值 confidence。
REQ-8-6fe21fa3-0778de734420a20d,8,0778de734420a20d8a803d48ce314b90a6fe7b35860ce40b7a94e07f7069d01e,MUST,WP-03;WP-04,cross-coordinate golden diff; no numeric-confidence check,acceptance/*; docs/process/implementation-plan.md; F-07,product-core,F-07,F-07 跨工具、设备、版本与快照 Diff,每个 drift 必须能追溯到首次出现的 snapshot/event。
REQ-8-6fe21fa3-037eaccc88cf2e67,8,037eaccc88cf2e67a5c44b57372a09726600b0e10b11146d44f1fefe82dd0776,MUST-AND-MUST-NOT,WP-03;WP-04,cross-coordinate golden diff; no numeric-confidence check,acceptance/*; docs/process/implementation-plan.md; F-07,product-core,F-07,F-07 跨工具、设备、版本与快照 Diff,必须支持 baseline lock 与 CI exit code；Unknown 不得自动等价于 pass。
REQ-8-0b6cdd08-8661ed6b04e805d9,8,8661ed6b04e805d98b5f507a499e02c20bac9fa8a39c3338fb98bab24bb9cfe1,MUST,WP-02;WP-08,deterministic Doctor corpus; false-positive review; SARIF,acceptance/*; docs/process/implementation-plan.md; F-08,product-core,F-08,F-08 Context Doctor,deterministic Doctor 必须检测：缺失、重复、冲突、过时线索、过大常驻项、cap/truncation、错误 frontmatter、不可发现路径、gitignore 差异、只在单设备、secret literal、隐藏 Unicode、symlink escape、来源不明、版本不兼容、有损 projection。
REQ-8-0b6cdd08-44a0221e1cc914fa,8,44a0221e1cc914fa2265fdd634feec7f4b43838b5d27700c979db16eaef4e8ea,MUST,WP-02;WP-08,deterministic Doctor corpus; false-positive review; SARIF,acceptance/*; docs/process/implementation-plan.md; F-08,product-core,F-08,F-08 Context Doctor,每条 finding 必须包含 severity、受影响坐标、证据、可复现步骤和修复候选。
REQ-8-0b6cdd08-2b069c7d467bb786,8,2b069c7d467bb78606e9ceb380e5ab38d60e1a615e8e4dd8a212503ce93b9a4b,MUST,WP-02;WP-08,deterministic Doctor corpus; false-positive review; SARIF,acceptance/*; docs/process/implementation-plan.md; F-08,product-core,F-08,F-08 Context Doctor,Doctor 必须输出 `PlacementRecommendation`：把项目事实放 source docs/生成事实源，把可确定执行的约束放 formatter/linter/type/test，把动作拦截放 hook/CI，把能力限制放 permission/sandbox，把长期行为偏好放 always/scoped instruction，把可按需流程放 skill，把外部能力放 MCP，把可更新经验放 memory。输出当前载体、推荐载体、理由、可自动判定程度和迁移/验证步骤；LLM 只能补充候选，不自动搬移。
REQ-8-0b6cdd08-d98601c040fe55d7,8,d98601c040fe55d70d3581e2c61b3ca0a211a58f2a172217f29d6e605597ef28,MUST-NOT,WP-02;WP-08,deterministic Doctor corpus; false-positive review; SARIF,acceptance/*; docs/process/implementation-plan.md; F-08,product-core,F-08,F-08 Context Doctor,linter 是 defense-in-depth，不是 security boundary；无法从声明支持的输入到达的问题不得夸大为阻断漏洞。
REQ-8-0b6cdd08-73f4296c976a4164,8,73f4296c976a416469b5c9d2263c1799c37662ed6da8d8de9187c91a73f8cec2,MUST,WP-02;WP-08,deterministic Doctor corpus; false-positive review; SARIF,acceptance/*; docs/process/implementation-plan.md; F-08,product-core,F-08,F-08 Context Doctor,支持 suppress/exception，但必须记录 owner、理由、scope、期限和 evidence。
REQ-8-0b6cdd08-4999c4a120f02423,8,4999c4a120f0242306e722563cf52e9abf35ef8c0a95cb5bf3b21ae941f73943,MUST-NOT,WP-02;WP-08,deterministic Doctor corpus; false-positive review; SARIF,acceptance/*; docs/process/implementation-plan.md; F-08,product-core,F-08,F-08 Context Doctor,deterministic rules 可进入 CI；LLM 建议不能独立使 CI 失败。
REQ-8-8a377215-94e4d115e73998be,8,94e4d115e73998be35fb82717d92d95b02e6ae87f4ed6dfcdf2e4932df65260e,MUST,WP-06,semantic-team-validation; scripts/check_semantic_team.py,acceptance/semantic-team-contract.yaml; docs/architecture/semantic-alignment-and-team-standard.md; scripts/check_semantic_team.py,product-core,F-09,F-09 安全编辑、意图与 Native Projection,用户必须能把多个 native items 归到一个 `CanonicalIntent`（Intent 不是第二套对象），例如“测试必须使用 Vitest”。
REQ-8-8a377215-dda76c020cb72296,8,dda76c020cb72296b2a055527ed33603aae90963e97f952cb539222bd18df3c9,MUST,WP-06,semantic-team-validation; scripts/check_semantic_team.py,acceptance/semantic-team-contract.yaml; docs/architecture/semantic-alignment-and-team-standard.md; scripts/check_semantic_team.py,product-core,F-09,F-09 安全编辑、意图与 Native Projection,CanonicalIntent 必须包含 stable `id`、`meaning`（goal / constraints / non-goals）、`scope`、`precedence`、`activation`、`required_capability`、`dependencies`、`permission_security_boundary`、`lifecycle`、`owner` 与 `desired_outcome`。
REQ-8-8a377215-6654ee8f04104d1a,8,6654ee8f04104d1a9e90a7783d891ad315b678edd7d1c6039c4fe63cf5a043df,MUST-NOT,WP-06,semantic-team-validation; scripts/check_semantic_team.py,acceptance/semantic-team-contract.yaml; docs/architecture/semantic-alignment-and-team-standard.md; scripts/check_semantic_team.py,product-core,F-09,F-09 安全编辑、意图与 Native Projection,不得把“把同一份 MD/config 复制进每个 harness”当作对齐；byte/hash 相等只证明文件相同，不得当作语义等价。
REQ-8-8a377215-6854a15a3c2d4168,8,6854a15a3c2d416802c7b65a7da5659140da31fb48974638edd4046654ed4e33,MUST,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,投影流水线必须按固定顺序执行：canonical intent → target coordinate → capability negotiation → 唯一 `ProjectionAuthority` → harness-native projection → preview/apply/rollback → resolver/oracle → reconciliation Receipt。
REQ-8-8a377215-10be4e9cca29bf56,8,10be4e9cca29bf568449fad6402e7a40ee7997b5b8d52959fbccb8197143d61b,MUST-AND-MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,`FAMILIES` 中每个 family 必须使用该 family 的 native path、syntax、scope、precedence、lifecycle 与受支持 primitive；Codex、Claude Code、Cursor、DeepSeek Harness、Grok CLI（`grok-build`）、OpenCode、Kimi Code、ZCode、Coze 及其他已声明 family 都不得改走通用文件副本。
REQ-8-8a377215-3b8974094f837967,8,3b8974094f83796744ce56511fb6b3db2c95eca9e5c55cd31d5f5531b2abdbd4,MUST-AND-MUST-NOT,WP-06,semantic-team-validation; scripts/check_semantic_team.py,acceptance/semantic-team-contract.yaml; docs/architecture/semantic-alignment-and-team-standard.md; scripts/check_semantic_team.py,product-core,F-09,F-09 安全编辑、意图与 Native Projection,投影结果必须是 `exact | native-equivalent | transformed | lossless-native-overlay | lossy | unsupported | unknown`，且不得把核对状态 `verified` 当作 projection outcome。
REQ-8-8a377215-a90de2c1d997a54d,8,a90de2c1d997a54de99f7b9e47de4fbc152abbbbabc75f3d3f057814e0e9373a,MUST-AND-MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,`unsupported` 与 `unknown` 语义不得静默丢弃，也不得报告为 `verified`。`lossy` 必须进入 loss report；无有效 covering exception 时不得 `verified`。
REQ-8-8a377215-ac5d5c952633280f,8,ac5d5c952633280fb73cf7b1c4e9a567d48af868b40583d02c894458fab1f83f,MUST-AND-MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,每个 target profile/transaction 必须绑定唯一 `ProjectionAuthority`：`contexpect-native`、冻结版本的 APM、Agentpack、agentsync 或 `export-only`。同一目标和资产不能组合两个 projector。
REQ-8-8a377215-c7f628d2c9c43879,8,c7f628d2c9c43879e1dfbf7010fb1d83f36e7c6f4546fd61b04d381b81e39dcb,MUST-NOT,WP-06,semantic-team-validation; scripts/check_semantic_team.py,acceptance/semantic-team-contract.yaml; docs/architecture/semantic-alignment-and-team-standard.md; scripts/check_semantic_team.py,product-core,F-09,F-09 安全编辑、意图与 Native Projection,Contexpect 拥有 preview UI、执行授权、调用审计和 apply 后 Receipt，并用自己的 resolver 对投影结果产生独立 `post-projection finding`。它不能改写 authority 的 loss report；两者矛盾时显示 conflicted 并阻止 apply，直到 integration contract 或用户选择被记录。
REQ-8-8a377215-fbd88e468b0c4005,8,fbd88e468b0c40057b7db1f1a72601f3a1f1a028e8766bbbfe3951a1dc95d300,MUST-AND-MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,任何应用动作必须显式选择目标；被委托 executor 必须提供原子/可恢复语义、保留原格式/注释（能力允许时）和 rollback point。若没有满足合同的 executor，该 projection 只能导出 plan，不能由 Contexpect 直接写入。
REQ-8-8a377215-827966845387bdd6,8,827966845387bdd6215d37dde7ad6e03e842cabaa53c4bf02ce60a31fc61bbe8,MUST-AND-MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,不支持的映射必须 skip 或要求 native overlay，禁止静默删除。
REQ-8-8a377215-f1ba1c1a05ba821b,8,f1ba1c1a05ba821b3f456c23cbccb286b7b2ff4a969d2d85546c1661f0db6978,MUST-AND-MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,正当的 harness-specific native overlay 必须有显式 `owner`、`reason`、`scope` 和独立 digest；overlay 不得在没有有效 exception 时削弱 required 团队规则。
REQ-8-8a377215-4d667f05e663254c,8,4d667f05e663254c8e7859097e0a7c80037a0320c4a2cd8e007f597923d62e8c,MUST,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,Loss report 必须使用封闭类别 `omitted | weakened | approximated | duplicated | harness-only`，并区分 benign-native-representation 与 unapproved-semantic-drift。
REQ-8-8a377215-c55fc146c2680441,8,c55fc146c268044100d1cccc34cfcdfc836aaad91adbbfe71e8a36100552d973,MUST,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,Reconciliation Receipt 必须绑定 intent、plan、authority、transaction、native artifact、resolver/oracle、policy、exception 的 digest。
REQ-8-8a377215-f2593e7f2ac0293d,8,f2593e7f2ac0293d0213a87f0f1b137124b87c13c5bfd726a952c81fbdc991b7,MUST,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,必须处理并发修改：apply 前重新 hash，检测变化后停止并要求 merge。
REQ-8-8a377215-9988d62db8495926,8,9988d62db849592642ef572c4937f1a35dc5323fb1bb5f25c44611543ca1fb4f,MUST-AND-MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,必须通过 executor integration 支持 undo/rollback 和 dry-run；不能把 executor 成功等同于目标 harness 已生效，应用后还要重新生成 Receipt。
REQ-8-8a377215-bf312de13e28e7a1,8,bf312de13e28e7a1a49ca66ba90007e283575d46dc928e7103ff648e95a47ce5,MUST-AND-MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,executor 必须在最小化环境和任务级受限临时目录运行；其 argv、env、stdin、stdout/stderr、debug log、临时文件、backup、snapshot、local Git history 与 crash artifact 全部进入 secret/redaction gate。不能证明不落明文 secret 的 executor 不得处理 secret-bearing transaction，只能 read-only/import/export plan。
REQ-8-8a377215-8aee563fdb3c6338,8,8aee563fdb3c63389cccdd70ca98b84d90088c0d5e1da3a48c689ae782b9bb0a,MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,`acceptance/projection-matrix.yaml` 可以增加 cell，不能把这些 required-write 降为 export-only：
REQ-8-8a377215-da483eff8474739f,8,da483eff8474739fb9728a4f2c6bc620f07872eac6b3e5c19fb4210a4f9827de,MUST,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,| project scoped/conditional rules 这一独立 primitive | N/A；用 project/nested instruction 表达且必须显示 loss | required-write | required-write | N/A；用 project/nested instruction 表达且必须显示 loss | `contexpect-native` |
REQ-8-8a377215-64de6971fe8623b1,8,64de6971fe8623b17f25267b27627d337617f451386f7d6c98b0370a4dd50299,ONLY-IF,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,| custom commands/prompts、plugins、hooks、managed/team UI-only rules | observe/import/export；只有 §17.0 固定了稳定 native executor 的 cell 才可 required-write | 同左 | 同左 | 同左 | 冻结 external authority 或 `export-only` |
REQ-8-8a377215-fcf65d33f26223aa,8,fcf65d33f26223aa0963b68b5f5a101e412688937e48ebea2356a107616ad530,MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,`N/A` 只表示目标 harness 没有该独立 native primitive，不得把同义 intent 删除；
REQ-8-8a377215-d4c4f4fdb37be97b,8,d4c4f4fdb37be97b60d0ab7f2c40e6c0c4a379f3b1bf5d163d6b2e9c753bfa49,MUST,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,必须给出 loss/native overlay 或投影到表中另一个 required primitive。
REQ-8-8a377215-a21cade2e61225ed,8,a21cade2e61225ed1f2d71657379a39ea91d86d53bfe8b5a3faf569f1525d815,MUST,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,每个 required-write cell 必须固定一个 authority/version，具备 preview、apply、rollback、并发 guard、loss report 和 post-apply Receipt；
REQ-8-8a377215-74793cda5da945af,8,74793cda5da945afde4b4c8bd1c1c216d95977e7b6f366c3c847763db5c05e44,MUST-NOT,WP-06,executor contract; loss report; concurrency/rollback/unmanaged-file tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-09,product-core,F-09,F-09 安全编辑、意图与 Native Projection,`export-only` 只能用于 observe/import/export cell，不能满足 required-write。
REQ-8-dba301f9-d23b70985334ff2b,8,d23b70985334ff2bd4b5916019134ccf133e63494a9ad44c35851b61cbd44af2,MUST,WP-07,crypto vectors; replay/rollback/equivocation/device revoke tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-10,product-core,F-10,F-10 多设备 Desired State 与加密同步,必须定义 transport-neutral encrypted bundle 和 provider contract；完整交付内置本地文件夹与 Git-backed provider，可放入用户已有的 iCloud Drive、Dropbox、Syncthing 等文件同步目录。其他云/WebDAV/S3 通过 provider adapter，不在 core 中自建通用传输客户端。
REQ-8-dba301f9-95e5ef7a2745ad6c,8,95e5ef7a2745ad6c3e91864ad649880512d389b22e00c146103fef99f20ca7c7,MUST,WP-07,crypto vectors; replay/rollback/equivocation/device revoke tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-10,product-core,F-10,F-10 多设备 Desired State 与加密同步,加密 bundle 必须端到端加密且具备 authenticity、版本链和 replay/rollback detection；远端只能看到 opaque blob、最少 metadata 和版本。
REQ-8-dba301f9-192ec45cb6c7dab1,8,192ec45cb6c7dab1e5499447f7b4924987eb3de5bebc89c2cbe3450804b8ea7e,MUST,WP-07,crypto vectors; replay/rollback/equivocation/device revoke tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-10,product-core,F-10,F-10 多设备 Desired State 与加密同步,必须支持标准 recipient 的加入/移除、内容密钥轮换、用户自主管理的密钥备份/恢复和冲突检测；不自建设备 PKI、恢复码、通用版本图或通用三方 merge 协议。
REQ-8-dba301f9-a216387797198c33,8,a216387797198c336062d531900269a1f4a674ec375f8069c469012fb7d92a42,MUST-NOT,WP-07,crypto vectors; replay/rollback/equivocation/device revoke tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-10,product-core,F-10,F-10 多设备 Desired State 与加密同步,Git-backed provider 直接使用 Git 的 commit/merge/signing 语义。文件夹 provider 只发布不可变 generation bundle 与 latest pointer；观察到同父分叉时进入 conflict，允许用户选择 head、导出双方或转交 Git/external authority 处理，禁止静默自动合并。
REQ-8-dba301f9-5a75b4417cea6879,8,5a75b4417cea6879c2c23734d9b6eaffd65187b8fba35e7f952020be9eb11f9a,MUST,WP-07,crypto vectors; replay/rollback/equivocation/device revoke tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-10,product-core,F-10,F-10 多设备 Desired State 与加密同步,同步前后均生成 Receipt；设备“同步成功”必须同时区分 transport success 和 semantic reconciliation success。
REQ-8-dba301f9-a586bebd5e1a0f6e,8,a586bebd5e1a0f6e605d0b53536e30363021791eb187b8e948f254e1378c3d9c,MUST-NOT,WP-07,crypto vectors; replay/rollback/equivocation/device revoke tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-10,product-core,F-10,F-10 多设备 Desired State 与加密同步,项目资产优先引用 Git source；不得把 Git 已管理的正文无理由复制进第二套云数据库。
REQ-8-dba301f9-56daa49b6a3d9dbc,8,56daa49b6a3d9dbc94232227b4f125f8d15543b0e186cb2f8ad2f4afdbbac82e,MUST-AND-MUST-NOT,WP-07,semantic-team-validation; scripts/check_semantic_team.py,acceptance/semantic-team-contract.yaml; docs/architecture/semantic-alignment-and-team-standard.md; scripts/check_semantic_team.py,product-core,F-10,F-10 多设备 Desired State 与加密同步,团队负责人必须能发布可移植、已签名的 `TeamContextStandard` bundle：`stable_id`、`semantic_version`+`revision`、publisher/signing identity、`compatibility_floors`、`target_harness_coordinates`、`canonical_intent_set`、`policy_rules`、`release_notes`、migration/rollback 元数据、`content_digest_manifest`、`signatures`、expiry/channel；不得包含 secret 值。
REQ-8-dba301f9-6917eec49951452d,8,6917eec49951452ded29ade657eb12ef657d155bf5e263dfb4eb7d9936f795ff,MUST-AND-MUST-NOT,WP-07,semantic-team-validation; scripts/check_semantic_team.py,acceptance/semantic-team-contract.yaml; docs/architecture/semantic-alignment-and-team-standard.md; scripts/check_semantic_team.py,product-core,F-10,F-10 多设备 Desired State 与加密同步,TeamContextStandard 的分发必须 local-first 支持 git/file；加密云 registry/sync 只是可选传输，不得成为语义依赖。
REQ-8-dba301f9-99ab603cd94c5349,8,99ab603cd94c534936a3b787e055c925efadfb06395e37477843238abac41c6b,MUST,WP-07,crypto vectors; replay/rollback/equivocation/device revoke tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-10,product-core,F-10,F-10 多设备 Desired State 与加密同步,生命周期必须支持 `validate`、`publish`、`preview`、`adopt`/`pin`、`update`、`status`、`leave`、`rollback`、`revoke`。
REQ-8-dba301f9-6c5b32390f6e35e1,8,6c5b32390f6e35e135db59b09f5c1b568752356b6cf4b300372f68cd6ff0cad1,MUST-NOT,WP-07,crypto vectors; replay/rollback/equivocation/device revoke tests; semantic-team-validation; scripts/check_semantic_team.py,acceptance/*; docs/process/implementation-plan.md; F-10,product-core,F-10,F-10 多设备 Desired State 与加密同步,未签名、secret-bearing、rollback-unsafe、伪造 publisher 或 digest 被替换的 bundle 不得被当作已采用标准。
REQ-8-f932826d-9b216539f0487d50,8,9b216539f0487d5080b4df409ecb2ca26b272647ab7ae8688b6d486295e550b4,MUST,WP-01;WP-08,integration contract; license/provenance/SBOM; malicious package corpus,acceptance/*; docs/process/implementation-plan.md; F-11,product-core,F-11,F-11 Skills / Plugins / MCP 管理与外部生态集成,必须提供本地 catalog：来源、版本、license、scope、兼容 harness、权限、scripts/hooks、MCP transport、secret refs、安装状态、激活/使用证据。
REQ-8-f932826d-ed71594ca2467f8d,8,ed71594ca2467f8d3032a82859acc48b711c1f83ec784c9b7825d03640a00df4,MUST,WP-01;WP-08,integration contract; license/provenance/SBOM; malicious package corpus,acceptance/*; docs/process/implementation-plan.md; F-11,product-core,F-11,F-11 Skills / Plugins / MCP 管理与外部生态集成,必须支持 AGENTS.md、Agent Skills、Agent Plugins、MCP 等公开标准的 import/export/validate。
REQ-8-f932826d-679345bd93a90fec,8,679345bd93a90fec0a44f2afee3b507759c30d0cd44733820b7ed63576417ba4,MUST,WP-01;WP-08,integration contract; license/provenance/SBOM; malicious package corpus,acceptance/*; docs/process/implementation-plan.md; F-11,product-core,F-11,F-11 Skills / Plugins / MCP 管理与外部生态集成,必须读取并展示 APM manifest/lock；package resolution、安装、更新、disable、lock 与 SBOM 生命周期由受控 APM/Git executor 完成，Contexpect 不复制其依赖解析器和 package manager。
REQ-8-f932826d-34803ac7884e865f,8,34803ac7884e865f35848522a0a070e1fda1729535c47701669ca0e6948d069f,MUST,WP-01;WP-08,integration contract; license/provenance/SBOM; malicious package corpus,acceptance/*; docs/process/implementation-plan.md; F-11,product-core,F-11,F-11 Skills / Plugins / MCP 管理与外部生态集成,可支持 Agentpack/agentsync 的 desired-state import/export 或外部执行，但必须清楚显示由谁负责 mutation。
REQ-8-f932826d-842d7e9be49cc473,8,842d7e9be49cc473efbe91c6794e740ec7e68d74c0e0cd14f0c3589ae11c4ae0,MUST,WP-01;WP-08,integration contract; license/provenance/SBOM; malicious package corpus,acceptance/*; docs/process/implementation-plan.md; F-11,product-core,F-11,F-11 Skills / Plugins / MCP 管理与外部生态集成,安装前必须展示来源、commit/tag、license、hash/signature、scripts/hooks、MCP commands、权限、网络需求和安全扫描结果。
REQ-8-f932826d-34fb01c33679ea3e,8,34fb01c33679ea3e9201ca545a3d766d1e2e3f47805751c0d208f8a763232b85,MUST,WP-01;WP-08,integration contract; license/provenance/SBOM; malicious package corpus,acceptance/*; docs/process/implementation-plan.md; F-11,product-core,F-11,F-11 Skills / Plugins / MCP 管理与外部生态集成,安装必须由 executor pin 版本并返回 SBOM/lock reference；Contexpect 展示 update preview、风险、调用审计、rollback/disable 能力和应用后 Receipt。
REQ-8-6a9b3d1d-7823a6ad51d42321,8,7823a6ad51d423219894caab6b8b2acf34033b354e4033caf234f18e002b19fd,MUST,WP-05,importer coverage manifest; partial/unknown honesty; retention/delete,acceptance/*; docs/process/implementation-plan.md; F-12,product-core,F-12,F-12 Runtime Importers 与 Session Timeline,必须实现可用原生 surface 的 importer：Claude `/context`、Grok `inspect --json`、Codex `debug prompt-input`/app-server/JSON events，以及 Cursor 可获得的官方导出或活动规则信息；扩展 cohort 优先接入 DeepSeek Harness append-only events、OpenHands Agent Server/SDK events、Qwen headless/daemon events、Copilot inventory/events、Cline JSON/SDK、Kimi/ACP 和其他 adapter manifest 明确声明的原生字段。
REQ-8-6a9b3d1d-1a04ed3b311f26f5,8,1a04ed3b311f26f5e3aa2d92e71f9abd935b8d49f5b7529ef88ab316429dcd62,MUST-AND-MUST-NOT,WP-05,importer coverage manifest; partial/unknown honesty; retention/delete,acceptance/*; docs/process/implementation-plan.md; F-12,product-core,F-12,F-12 Runtime Importers 与 Session Timeline,每个 importer 必须声明覆盖范围和缺口。例如 Codex `prompt-input` 不能被标成完整 wire payload。
REQ-8-6a9b3d1d-84586367841af29f,8,84586367841af29f548357edabc2fb0991407c8cf42a39ae3cdfbcd1e47ca7ab,MUST,WP-05,importer coverage manifest; partial/unknown honesty; retention/delete,acceptance/*; docs/process/implementation-plan.md; F-12,product-core,F-12,F-12 Runtime Importers 与 Session Timeline,必须支持手动文件导入、stdin、CLI wrapper 和受控 API connector；默认不要求代理流量。
